Tier 1,Construction,Base,Root,Conjugation,Alt,Alt2,Alt3,,
,potential passive conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,れられれば,,,,,
,potential passive desiderative,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,れられたい,,,,,
,potential passive deontic,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,れられるべき,,,,,
,continuous potential causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられている,,,,,
,resultant potential causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられている,させられてある,,,,
,potential causative conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられれば,,,,,
,potential causative desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられたい,,,,,
,potential causative deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられるべき,,,,,
,potential conditional desiderative,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,れたければ,,,,,
,potential conditional deontic,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,れるべきなら,,,,,
,continuous potential desiderative,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,れていたい,,,,,
,negative potential deontic,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,れるべきでない,,,,,
,continuous causative conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていれば,,,,,
,resultant causative conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていれば,させてあれば,,,,
,causative conditional desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せたければ,,,,,
,causative conditional deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せるべきなら,,,,,
,continuous causative desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていたい,,,,,
,continuous conditional desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたければ,,,,,
tier 4,,,,,,,,,
,negative past continuous completion,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっていなかった,,,,,
,negative past continuous potential,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられなかった,,,,,
,negative past continuous passive,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられなかった,,　,,,
,negative past continuous conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いなかったら,,,,,
,negative past continuous desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたくなかった,,,,,
,negative past continuous deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いるべきでなかった,,,,,
,,,,,,,,,
,,,,,,,,,
,negative past completion conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまわなかったら,,,,,
,negative past completion desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまいたくなかった,,,,,
,negative past completion deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまうべきでなかった,,,,,
,negative past resultant conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,なかったら,,,,,
,negative past potential conditional,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,なかったら,,,,,
,negative past potential desiderative,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,たくなかった,,,,,
,negative past potential deontic,Hypothetical,え・て・れ・け・げ・め・ね・べ・せ・られ,るべきでなかった,,,,,
,negative past continuous passive,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れていなかった,,,,,
,negative past passive conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れなかったら,,,,,
,negative past passive desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れたくなかった,,,,,
,negative past passive deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・ら,れるべきでなかった,,,,,
,negative past continuous causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せていなかった,,,,,
,negative past resultant causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せてなかった,,,,,
,negative past potential causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられなかった,,,,,
,negative past passive causative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せられなかった,,,,,
,negative past causative conditional,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せなかったら,,,,,
,negative past causative desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せたくなかった,,,,,
,negative past causative deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せるべきでなかった,,,,,
,negative past conditional desiderative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・,たくなかったら,,,,,
,negative past conditional deontic,Dictionary,う・つ・る・く・ぐ・む・ぬ・ぶ・す・る,べきでなかったら,,,,,
