Tier 1,Construction,Base,Root,Conjugation,Alt,Alt2,Alt3,,
,past negative causative desiderative,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せたくなかったです,せたくありませんでした,,,,
,past negative causative deontic,Irrealis / Imperfective,わ・た・ら・か・が・ま・な・ば・さ・さ,せるべきでなかったです,せるべきではありませんでした,,,,
,past negative conditional desiderative,Continuative / Stem,い・ち・り・き・ぎ・み・に・び・し・ｘ,たくなかったら,,,,,
,past negative conditional deontic,Dictionary,う・つ・る・く・ぐ・む・ぬ・ぶ・す・る,べきでなかったら,,,,,
,past continuous completion conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっていたら,,,,,
,past continuous completion deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまっているべきだったです,,,,,
,past continuous resultant negative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いてなかったです,いていませんでした,,,,
,past continuous resultant conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いていったら,ていてあったら,,,,
,past continuous potential conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられたら,,,,,
,past continuous potential desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられたかったです,,,,,
,past continuous potential deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いられるべきだったです,,,,,
,past continuous conditional desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いたかったら,,,,,
,past continuous conditional deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,いるべきだったら,,,,,
,past completion resultant negative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまってなかったです,しまっていませんでした,,,,
,past completion resultant conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまってあったら,,,,,
,past completion potential conditional ,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえたら,,,,,
,past completion potential desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえたかったです,,,,,
,past completion potential deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまえるべきだったです,,,,,
,past completion passive conditional,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまわれたら,,,,,
,past completion passive deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまわれるべきだったです,,,,,
,past completion conditional desiderative,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまいたかったら,,,,,
,past completion conditional deontic,T Form,って・って・って・いて・いで・んで・んで・んで・して・て,しまうべきだったら,,,,,
